iter	MultiClass
144	0.3231414921
145	0.3224432799
146	0.3217057234
147	0.3207727028
148	0.3202375121
149	0.3191909476
150	0.3185455743
151	0.3178496397
152	0.3170885008
153	0.3165271976
154	0.3160051176
155	0.315393402
156	0.3148441164
157	0.314132916
158	0.3133719237
159	0.3128092676
160	0.3121624122
161	0.3116090764
162	0.3111956613
163	0.3103351728
164	0.3096641077
165	0.3092489708
166	0.3087163279
167	0.3080634237
168	0.3074178537
169	0.3069959576
170	0.306442067
171	0.3057975219
172	0.3049701588
173	0.3044148176
174	0.3037538666
175	0.3029483649
176	0.3024820565
177	0.301523843
178	0.3010908918
179	0.3003913208
180	0.2996906409
181	0.2992597325
182	0.2984961598
183	0.2980301315
184	0.2973301443
185	0.2967936711
186	0.2962961058
187	0.2958230363
188	0.2950339077
189	0.2943967252
190	0.2939650874
191	0.293441602
192	0.2927544674
193	0.2923342772
194	0.2919057516
195	0.2913604625
196	0.2907898453
197	0.290313604
198	0.2896319227
199	0.2890548135
200	0.2886852899
201	0.2880321448
202	0.2874532501
203	0.2868013071
204	0.286242609
205	0.2859176815
206	0.2854438744
207	0.2850978166
208	0.2843656774
209	0.2839607676
210	0.2832053426
211	0.2828164065
212	0.2823811034
213	0.2817248872
214	0.2813805967
215	0.2808027071
216	0.2801734797
217	0.279688134
218	0.2792983811
219	0.2787125872
220	0.278316077
221	0.2778775008
222	0.2771602036
223	0.2765962931
224	0.276207335
225	0.2757259272
226	0.2751628926
227	0.2746934048
228	0.2741177484
229	0.2738030316
230	0.2733646857
231	0.2728684831
232	0.2722668179
233	0.2718230365
234	0.2713918274
235	0.2709303983
236	0.2704346943
237	0.26998279
238	0.2694474617
239	0.2690390526
240	0.2685193843
241	0.2679322861
242	0.2674806845
243	0.267019091
244	0.2664260667
245	0.2658327904
246	0.2653528715
247	0.2647624204
248	0.2638905038
249	0.2631896389
250	0.2629007223
251	0.262234581
252	0.2616902394
253	0.2613673535
254	0.2608125595
255	0.2603701284
256	0.2598587021
257	0.259275434
258	0.2588140238
259	0.2584586047
260	0.2581763031
261	0.2577536869
262	0.2569073927
263	0.2563213014
264	0.2558198569
265	0.2554031318
266	0.255000368
267	0.2546043238
268	0.253960191
269	0.2534158218
270	0.2528768621
271	0.2525239071
272	0.2519366889
273	0.2515445126
274	0.2509870298
275	0.2506790282
276	0.2502525971
277	0.2497716688
278	0.249487911
279	0.2490400102
280	0.2484716251
281	0.2479361489
282	0.2476878776
283	0.2471877444
284	0.2465827192
285	0.2458981298
286	0.2452160238
287	0.2448693574
288	0.2444015227
289	0.2439494479
290	0.2435334586
291	0.2430036729
292	0.2425936143
293	0.2420507329
294	0.2416366117
295	0.241261565
296	0.2407055555
297	0.2402453677
298	0.2398159625
299	0.2395082934
300	0.238892203
301	0.2382398803
302	0.2379040163
303	0.2375019905
304	0.2369948798
305	0.2364907551
306	0.2360549506
307	0.2357245058
308	0.2352075818
309	0.2348876214
310	0.2343466744
311	0.2340373383
312	0.2337819517
313	0.2332284956
314	0.2327993771
315	0.2323166663
316	0.2317687119
317	0.2313574042
318	0.2309861981
319	0.2307811894
320	0.2303058163
321	0.2298566903
322	0.2294365345
323	0.228982729
324	0.2285813496
325	0.2281840973
326	0.2276829311
327	0.2272839918
328	0.2269712872
329	0.2266148189
330	0.2261265741
331	0.225687472
332	0.2252458737
333	0.2248543822
334	0.2243494268
335	0.2239967291
336	0.2236402168
337	0.2230681105
338	0.2225099196
339	0.2222652758
340	0.2219458581
341	0.2213556556
342	0.2209752369
343	0.2206686148
344	0.2202949768
345	0.2199165816
346	0.2195394655
347	0.2192721711
348	0.2188936952
349	0.2184585984
350	0.2179094506
351	0.2176913638
352	0.2172875359
353	0.2169669957
354	0.2165111444
355	0.2160899729
356	0.2156180364
357	0.2151709486
358	0.2149020291
359	0.214540434
360	0.2141577647
361	0.2137140663
362	0.2133155548
363	0.2129064935
364	0.2125149047
365	0.2120700759
366	0.2116002297
367	0.2112274739
368	0.210912609
369	0.2104157873
370	0.2100473669
371	0.2098127913
372	0.20934547
373	0.209110754
374	0.2086627798
375	0.2081708329
376	0.2078522828
377	0.2075610224
378	0.2071309606
379	0.2068492433
380	0.2064212766
381	0.2061168677
382	0.2058222323
383	0.2055041868
384	0.2049413619
385	0.2046228686
386	0.2042136527
387	0.2038937862
388	0.2036337828
389	0.2032795228
390	0.2030354417
391	0.2027799523
392	0.2024649115
393	0.2022121546
394	0.2019372782
395	0.2016663457
396	0.2013935546
397	0.2010723709
398	0.2006473749
399	0.2002304166
400	0.199939667
401	0.1995092307
402	0.1991697537
403	0.1988325094
404	0.1985985708
405	0.1983354744
406	0.1980172295
407	0.1978066761
408	0.1975989224
409	0.1972326079
410	0.1969207015
411	0.1966416442
412	0.1962160652
413	0.195899576
414	0.1955391632
415	0.1952807364
416	0.1950428469
417	0.1947056585
418	0.1943716084
419	0.1941183351
420	0.1937594361
421	0.1934730757
422	0.1931889887
423	0.1929182285
424	0.1926520206
425	0.1922594333
426	0.1919249191
427	0.1917161917
428	0.1913665905
429	0.1910595522
430	0.1907893796
431	0.1904729469
432	0.1902727695
433	0.1900689789
434	0.1898058341
435	0.1896076654
436	0.1893039695
437	0.1891392613
438	0.1888635952
439	0.1886788866
440	0.1883458213
441	0.1882242671
442	0.1878816589
443	0.187641555
444	0.1873509205
445	0.1868911616
446	0.1866297874
447	0.18637065
448	0.1861367637
449	0.1858523115
450	0.1855878349
451	0.1851934895
452	0.1848495674
453	0.1844753593
454	0.1842423541
455	0.1839955438
456	0.1837684092
457	0.1835458522
458	0.1832026974
459	0.1828958537
460	0.1824520427
461	0.1822403981
462	0.1819584367
463	0.1816795548
464	0.1814841702
465	0.1811546331
466	0.1808874325
467	0.1806758488
468	0.1804757833
469	0.1802018438
470	0.1798057196
471	0.1796131333
472	0.179549669
473	0.1792255915
474	0.1789695595
475	0.1787071334
476	0.1784499805
477	0.1781865562
478	0.1780635133
479	0.177756092
480	0.1774905589
481	0.1772834904
482	0.1770871915
483	0.1768458188
484	0.1765919
485	0.1763969393
486	0.1762470052
487	0.1760015312
488	0.1756925247
489	0.1753918284
490	0.1751430278
491	0.1748673898
492	0.1746416964
493	0.1744374165
494	0.1740815988
495	0.1738247868
496	0.1736105541
497	0.1734046046
498	0.1731711408
499	0.1729126286
500	0.1726545182
501	0.1724345809
502	0.1720724341
503	0.171860821
504	0.171707586
505	0.1714982106
506	0.1712295575
507	0.1710364592
508	0.1707911095
509	0.1706305609
510	0.1703514387
511	0.170105124
512	0.169832679
513	0.169616376
514	0.1693765374
515	0.16912773
516	0.1688393548
517	0.168558651
518	0.1683743099
519	0.168152367
520	0.1679340047
521	0.1677904061
522	0.1676158167
523	0.1673815968
524	0.1671745519
525	0.1668944771
526	0.1667576859
527	0.1665398949
528	0.1663333672
529	0.1661593299
530	0.1659839467
531	0.1658662325
532	0.1656249417
533	0.1654802896
534	0.1652824255
535	0.1649822803
536	0.1647864178
537	0.1644491237
538	0.1642128538
539	0.1639642081
540	0.1637950972
541	0.1635855239
542	0.1634223868
543	0.1632115756
544	0.1628548585
545	0.162590676
546	0.1624352705
547	0.1622243883
548	0.1619649598
549	0.1617458794
550	0.1614971687
551	0.1613180298
552	0.1610732119
553	0.1609153826
554	0.1606846033
555	0.1604324879
556	0.1601802863
557	0.1598769374
558	0.1597207569
559	0.1595643803
560	0.1593233361
561	0.1591106834
562	0.1589007286
563	0.1586626059
564	0.1584484224
565	0.1583338193
566	0.1581820461
567	0.1580234652
568	0.1579297476
569	0.1576903243
570	0.1574704741
571	0.1572402504
572	0.1570299662
573	0.1568063075
574	0.156582356
575	0.1564122677
576	0.1563097752
577	0.1560364847
578	0.1558926958
579	0.155707206
580	0.1555483707
581	0.1552801742
582	0.1550903569
583	0.1547952286
584	0.1545701992
585	0.1543557854
586	0.1541685556
587	0.1539928013
588	0.1538047139
589	0.1536630368
590	0.1533887703
591	0.153110348
592	0.1529389961
593	0.1527626157
594	0.1526055425
595	0.1523694525
596	0.1522245021
597	0.1520450682
598	0.1518254747
599	0.1516517153
600	0.1514224459
601	0.1513077248
602	0.1511433887
603	0.1509855074
604	0.15081433
605	0.150597442
606	0.15042544
607	0.1502683497
608	0.1500308434
609	0.1498872631
610	0.1496452931
611	0.149440973
612	0.1492989697
613	0.1491820293
614	0.1490322247
615	0.148769659
616	0.1485911108
617	0.1484717354
618	0.1482795391
619	0.148082215
620	0.147854614
621	0.1477666421
622	0.1475768132
623	0.1473471219
624	0.1472301037
625	0.1471139503
626	0.1469875905
627	0.1467593999
628	0.1465641334
629	0.1464166073
630	0.1462678752
631	0.1460777886
632	0.1458378977
633	0.1456859281
634	0.145542931
635	0.1453413885
636	0.1451800479
637	0.1450963877
638	0.1449206936
639	0.1447699888
640	0.1445874492
641	0.1444479548
642	0.1443219652
643	0.1441350531
644	0.1439542883
645	0.1438455016
646	0.1437051858
647	0.1435817145
648	0.1434230465
649	0.1432281316
650	0.1431030487
651	0.1429985159
652	0.1428244886
653	0.1427179934
654	0.1425167531
655	0.1424182381
656	0.1422618688
657	0.1421066279
658	0.141992993
659	0.1418824065
660	0.1417208843
661	0.1415992285
662	0.1414514144
663	0.1413242139
664	0.1411862356
665	0.1410508991
666	0.1409323441
667	0.1408385821
668	0.1407101616
669	0.140560389
670	0.1404545777
671	0.1403269663
672	0.1401264786
673	0.1400265082
674	0.1399001091
675	0.13976095
676	0.1396491494
677	0.1394972052
678	0.1393922392
679	0.1393121191
680	0.1391598523
681	0.1390077609
682	0.1389264069
683	0.1387824321
684	0.1386557756
685	0.1384682915
686	0.1383294071
687	0.1382288354
688	0.1380879318
689	0.1379479607
690	0.1378114896
691	0.1376966518
692	0.1375749042
693	0.137482674
694	0.1373558236
695	0.1371645558
696	0.1370833123
697	0.1369438789
698	0.1368075863
699	0.1366841917
700	0.1366026094
701	0.1364739251
702	0.1363718794
703	0.1362214375
704	0.1361308497
705	0.1359846219
706	0.1358886514
707	0.1358191897
708	0.1356536196
709	0.1355743188
710	0.1354700506
711	0.135341876
712	0.1351579963
713	0.1350067473
714	0.134945697
715	0.1348093655
716	0.1346755804
717	0.1345061019
718	0.1343651411
719	0.1342307899
720	0.1340349459
721	0.1339560794
722	0.1338886488
723	0.1336911356
724	0.1335696932
725	0.1334379116
726	0.1332597151
727	0.1330717986
728	0.1329144281
729	0.1328086664
730	0.1326355453
731	0.1325005162
732	0.1324318437
733	0.1323205958
734	0.1322254262
735	0.1320971526
736	0.1320006539
737	0.1319180046
738	0.1316889926
739	0.1316005221
740	0.131479313
741	0.1313542248
742	0.1312133836
743	0.1311101214
744	0.1309606906
745	0.1308797543
746	0.1307404706
747	0.1306211756
748	0.1305326432
749	0.1304319073
750	0.1303243068
751	0.1302582001
752	0.1301018251
753	0.1299203518
754	0.1298270198
755	0.1297334345
756	0.1296247343
757	0.1294672145
758	0.1293254701
759	0.1291867826
760	0.1290874024
761	0.1289506375
762	0.1288821131
763	0.128768781
764	0.1286127005
765	0.1285255703
766	0.1284099517
767	0.1282521138
768	0.1281284173
769	0.1279813136
770	0.1278634511
771	0.1277849185
772	0.1276656041
773	0.1275144259
774	0.1274174319
775	0.1273295246
776	0.1272485022
777	0.1271660451
778	0.1270629496
779	0.1269673575
780	0.1268670956
781	0.1267589061
782	0.126677469
783	0.1265681179
784	0.1264387452
785	0.1262561183
786	0.126117639
787	0.1260054069
788	0.125883566
789	0.1258191517
790	0.1257101133
791	0.1256229349
792	0.1255566114
793	0.1253983106
794	0.1253064593
795	0.1252113911
796	0.1251808789
797	0.1250439633
798	0.1249518945
799	0.1248652871
